,gene,log2 fold change,p-value,p-value adj
25,rgf2,0.019436981099788853,0.8447925367300679,5613.646406571302
1431,dpm1,0.020815148107500365,0.8451288886204964,5615.8814648831985
3035,rps3002,-0.05833524560644187,0.8451553515513102,5616.057311058456
5692,SPNCRNA.1468,-0.038406056160806945,0.8451978893474125,5616.339974713555
5113,erv29,0.01381756032372543,0.8455563104547845,5618.721682972043
2639,taf51,-0.014872073112627927,0.8463765776616797,5624.172358561862
5889,cwf28-antisense-1,0.061405726525648324,0.8463855871259565,5624.232226451981
5780,SPNCRNA.1551,0.050583012235975895,0.8465874560302903,5625.573645321279
3965,SPBC83.19c,-0.14016906087940548,0.8466927182200878,5626.273112572484
5151,SPCPB1C11.03,-0.03362401488320854,0.8469085125479421,5627.707065881075
311,cgr1,-0.049047683691896875,0.8473516537053947,5630.651738872348
1269,fun14,-0.03281098884340624,0.8474478422201179,5631.290911552684
6519,SPNCRNA.80,0.08840917673092023,0.8478463304444313,5633.938865803246
4335,hst2,-0.017642582221871452,0.8478707840993962,5634.101360340488
6166,SPNCRNA.437,0.04221318669939815,0.8481106660687472,5635.695376026825
3743,erb1,-0.01927016515386451,0.8481268551637322,5635.802952563001
5110,cbr1,0.0161365201338124,0.84831872279969,5637.07791300394
5671,sua1-antisense-1,-0.029429378884179385,0.8483599492148599,5637.351862532744
2207,bos1,0.019888253720205532,0.8483773713429147,5637.467632573668
2361,cys2,0.02605978179663197,0.8483776009382318,5637.46915823455
6522,SPAC13F5.07c-antisense-1,0.02728087323436943,0.8487124144963418,5639.693994328191
2693,vid27,-0.026692997601821224,0.8487913739430348,5640.218679851467
6491,SPNCRNA.774,-0.07862672150676736,0.849604376457392,5645.6210815593695
6189,SPNCRNA.462,-0.046001588748875576,0.8496673830650993,5646.0397604675845
4452,yrs1,-0.028198002248046406,0.849725779839112,5646.427807030899
5245,SPNCRNA.1062,0.050746172328266344,0.8497836166137087,5646.812132398094
5637,meu18-antisense-1,0.024027380596207598,0.8499257296842642,5647.756473751935
946,rtf1,-0.029418147362124687,0.8499531290344061,5647.938542433629
3299,atp7,-0.028652176864960723,0.8499609692931778,5647.990640953166
5570,mcp6-antisense-1,-0.03432793636057127,0.8500340408688263,5648.47620157335
2131,sec17,0.017692327103722552,0.8501902039629503,5649.513905333804
2710,SPBC16A3.14,0.02135828778539051,0.850530696811858,5651.776480314797
1630,pop2,-0.012964713248286951,0.8507317674147611,5653.1125944710875
3332,hpz1,-0.03145017219634493,0.8510126547962515,5654.979091121091
5789,SPNCRNA.156,0.0966097465986755,0.8510516125446308,5655.2379653590715
3807,dsh1,-0.013290110731649553,0.8515306494969366,5658.421165907143
1850,dut1,0.027448387451239453,0.8519705943477602,5661.344599440867
3469,SPBC32H8.05,-0.03093569861488047,0.8524631656323429,5664.617735626919
2378,rsv2,-0.03198563101859282,0.8525732713492205,5665.34938811557
6689,SPAC27E2.02-antisense-1,0.09391606722937504,0.853066107367727,5668.624283458546
2485,bzz1,0.01124661422728057,0.8532654309268425,5669.948788508868
3119,nrf1,-0.029039265363833586,0.8533317239952274,5670.389305948286
5828,SPNCRNA.1596,-0.04459178491445504,0.8535783943843457,5672.028430683977
3142,SPBC21C3.12c,0.028134784809360002,0.8543195446306121,5676.953374070417
570,SPAC1805.10,-0.012953505422518082,0.8543843571211452,5677.38405307001
1759,pof1,0.029281695966699037,0.8544718158071298,5677.965216038378
2848,tam9,-0.02958101009540153,0.8547199674691331,5679.61418383239
1743,ppt1,0.016063799469056245,0.8550417971039693,5681.752741755876
5297,rse1,-0.040207870347285846,0.8550688532516758,5681.932529857386
5874,hip3-antisense-1,-0.05685127209134644,0.8552246422781073,5682.967747938023
3542,spo9,-0.017856502657484025,0.8553195858343136,5683.598647869014
3093,ubc8,0.022559240118185362,0.85534967399861,5683.798583720763
5431,ist1-antisense-1,-0.054737849329345445,0.8553806500845332,5684.004419811723
1956,rif1,0.017000391820288736,0.8555610939229588,5685.203469118061
6623,cox15-antisense-1,-0.06877455384494524,0.8556194759762145,5685.591417861945
4676,wtf17,0.036296555164887744,0.8557323199980221,5686.341266386857
2888,gor2,0.022813285545079443,0.8560123530171369,5688.202085798875
4476,rpt4,0.0179210986758014,0.8561430424067887,5689.070516793111
2809,wtf2,0.16435405866401634,0.8561590435629944,5689.176844476098
2183,inp53,-0.010591951134944837,0.8562575604222651,5689.831489005952
2982,mhr1,-0.015701704932669695,0.8563594447421543,5690.508510311615
5301,SPNCRNA.1113,0.08369230073452877,0.8565691938681178,5691.902293253643
5412,SPCC663.08c-antisense-1,-0.032182769855246,0.856617934864118,5692.226177172064
5935,nam3,-0.0492524586091919,0.8568102666162858,5693.504221665219
2201,SPACUNK4.17,0.09918984032406866,0.8568984999647882,5694.090532266017
1542,rpn15,0.038456668188771796,0.8571395593946528,5695.692372177468
4007,hht2,0.01577367202697686,0.8572548943091213,5696.458772684111
6351,SPNCRNA.646,-0.027021186019453275,0.8575197839804506,5698.218964550094
3677,SPBC409.08,-0.06227439373561479,0.8575703561683616,5698.555016738763
1191,dsk2,0.02973778002798772,0.8579174400609542,5700.861389205041
2821,png2,0.027125031866363895,0.8579847641665768,5701.308757886903
2920,tif301,0.016915798231301928,0.8580450238218603,5701.7091832962615
6181,SPNCRNA.453,-0.19261644031981992,0.8580667671358695,5701.853667617853
540,pck1,0.014580839304126455,0.8582831946084002,5703.291828172819
1011,zhf1,0.017090686930526507,0.8583038711265721,5703.429223636072
5189,ade2-antisense-1,0.02725770896150192,0.8586831607457381,5705.94960315543
4544,vid21,-0.02237567826909317,0.8586895182164606,5705.99184854838
2784,ppa2,0.01660488383592422,0.8589545327362488,5707.752870032373
963,SPAC22H10.02,0.02579875673326855,0.8590634724341344,5708.476774324823
579,erf1,0.011249435759800419,0.8591422916891012,5709.000528274078
4323,sap18,0.029361525268720396,0.8592691022276262,5709.843184302576
4983,SPCC663.15c,0.010489567825077846,0.859556319723367,5711.751744561774
4357,fta4,0.019852201909337383,0.8595612999936844,5711.784838458033
2730,acl4,0.02670785474661516,0.8599725146132168,5714.517359604825
