gene,before_wash,plate,color,position,ratio,source
SPBC23E6.08,0.004385964912280688,9,blue,C11_,0.9539748953974951,protein-coding
SPBC23G7.07c,0.004385964912280688,9,blue,C12_,0.9539748953974951,protein-coding
SPBC24C6.08c,0.5263157894736843,9,blue,D1_,0.03974895397489539,protein-coding
SPBC25B2.01,0.3947368421052631,9,blue,D2_,0.04239888423988847,protein-coding
SPBC25B2.11,0.43859649122807015,9,blue,D3_,0.0286192468619247,protein-coding
SPBC25H2.14,0.4780701754385965,9,blue,D4_,0.02625618978158229,protein-coding
SPBC25H2.15,0.008771929824561403,9,blue,D5_,0.9539748953974889,protein-coding
SPBC26H8.01,0.4912280701754386,9,blue,D6_,0.01703526598924087,protein-coding
SPBC27.03,0.47368421052631576,9,blue,D7_,0.008833100883310113,protein-coding
SPBC27B12.10c,0.06140350877192982,9,blue,D8_,0.4769874476987447,protein-coding
SPBC27B12.11c,0.37719298245614036,9,blue,D9_,0.0,protein-coding
SPBC28E12.04,0.46052631578947373,9,blue,D10_,0.009085475194261828,protein-coding
SPBC28E12.06c,0.5394736842105263,9,blue,D11_,0.0,protein-coding
SPBC29A10.13,0.004385964912280688,9,blue,D12_,0.9539748953974951,protein-coding
SPBC29A3.01,0.5219298245614035,9,blue,E1_,0.04008297879821385,protein-coding
SPBC29A3.11c,0.4517543859649123,9,blue,E2_,0.027785676564975433,protein-coding
SPBC29A3.17,0.3815789473684211,9,blue,E3_,0.03289568604818931,protein-coding
SPBC2A9.11c,0.46052631578947373,9,blue,E4_,0.018170950388523597,protein-coding
SPBC2D10.09,0.4166666666666667,9,blue,E5_,0.020083682008368187,protein-coding
SPBC2F12.13,0.44298245614035087,9,blue,E6_,0.018890591988069087,protein-coding
SPBC30D10.18c,0.41228070175438597,9,blue,E7_,0.010148669099973319,protein-coding
SPBC31F10.13c,0.4780701754385965,9,blue,E8_,0.0,protein-coding
SPBC32F12.01c,0.41228070175438597,9,blue,E9_,0.0,protein-coding
SPBC32F12.09,0.41228070175438597,9,blue,E10_,0.0,protein-coding
SPBC337.10c,0.44298245614035087,9,blue,E11_,0.0,protein-coding
SPBC354.08c,0.5482456140350878,9,blue,E12_,0.0,protein-coding
SPBC354.14c,0.5175438596491229,9,blue,F1_,0.032338132047372556,protein-coding
SPBC354.15,0.44298245614035087,9,blue,F2_,0.037781183976138236,protein-coding
SPBC36.01c,0.44298245614035087,9,blue,F3_,0.028335887982103663,protein-coding
SPBC36.03c,0.456140350877193,9,blue,F4_,0.027518506598004516,protein-coding
SPBC365.08c,0.4473684210526316,9,blue,F5_,0.018705390105833115,protein-coding
SPBC365.13c,0.4517543859649123,9,blue,F6_,0.018523784376650268,protein-coding
SPBC36B7.02,0.4254385964912281,9,blue,F7_,0.01966958547211317,protein-coding
SPBC3B9.06c,0.4912280701754386,9,blue,F8_,0.008517632994620465,protein-coding
SPBC3E7.01,0.3947368421052631,9,blue,F9_,0.0,protein-coding
SPBC3E7.10,0.4254385964912281,9,blue,F10_,0.0,protein-coding
SPBC3F6.05,0.46052631578947373,9,blue,F11_,0.0,protein-coding
SPBC3H7.07c,0.5438596491228069,9,blue,F12_,0.0,protein-coding
SPBC409.06,0.5307017543859649,9,blue,G1_,0.03153636017842944,protein-coding
SPBC4B4.11,0.47368421052631576,9,blue,G2_,0.03533240353324039,protein-coding
SPBC4F6.09,0.456140350877193,9,blue,G3_,0.027518506598004516,protein-coding
SPBC4F6.15c,0.4254385964912281,9,blue,G4_,0.029504378208169788,protein-coding
SPBC530.02,0.41228070175438597,9,blue,G5_,0.03044600729991989,protein-coding
SPBC530.05,0.4166666666666667,9,blue,G6_,0.03012552301255231,protein-coding
SPBC557.02c,0.3991228070175438,9,blue,G7_,0.02096648121752723,protein-coding
SPBC56F2.01,0.004385964912280688,9,blue,G8_,1.9079497907949838,protein-coding
SPBC56F2.04,0.49561403508771934,9,blue,G9_,0.00844225571148223,protein-coding
SPBC56F2.09c,0.07894736842105263,9,blue,G10_,0.10599721059972099,protein-coding
SPBC56F2.12,0.40789473684210525,9,blue,G11_,0.010257794574166581,protein-coding
SPBC651.03c,0.5657894736842106,9,blue,H1_,0.029580616911550086,protein-coding
SPBC6B1.09c,0.3201754385964912,9,blue,H2_,0.06534074626010201,protein-coding
SPBC713.06,0.5263157894736843,9,blue,H3_,0.03974895397489539,protein-coding
SPBC776.04,0.5350877192982455,9,blue,H4_,0.03127786542286855,protein-coding
SPBC83.13,0.5263157894736843,9,blue,H5_,0.031799163179916344,protein-coding
SPBC839.11c,0.4517543859649123,9,blue,H6_,0.0370475687533006,protein-coding
SPBC839.17c,0.5438596491228069,9,blue,H7_,0.02308003779187476,protein-coding
SPBC887.02,0.5263157894736843,9,blue,H8_,0.015899581589958144,protein-coding
SPBC887.05c,0.5263157894736843,9,blue,H9_,0.031799163179916344,protein-coding
SPBC887.11,0.5263157894736843,9,blue,H10_,0.007949790794979098,protein-coding
SPBC8D2.18c,0.5394736842105263,9,blue,H11_,0.0,protein-coding
SPBC8E4.01c,0.5745614035087718,9,blue,H12_,0.0,protein-coding
SPBC947.11c,0.5580357142857143,9,yellow,A1_,0.01578854625550663,protein-coding
SPBCPT2R1.03,0.4776785714285714,9,yellow,A2_,0.018444563382601205,protein-coding
SPBP16F5.04,0.4955357142857143,9,yellow,A3_,0.017779894431876837,protein-coding
SPBP26C9.03c,0.5044642857142857,9,yellow,A4_,0.01746520603485247,protein-coding
SPBP35G2.14,0.5133928571428571,9,yellow,A5_,0.01716146332120286,protein-coding
SPBP4H10.04,0.4910714285714286,9,yellow,A6_,0.026912294753704425,protein-coding
SPBP4H10.07,0.5044642857142857,9,yellow,A7_,0.01746520603485247,protein-coding
SPBP4H10.14c,0.5133928571428571,9,yellow,A8_,0.01716146332120286,protein-coding
SPBP8B7.08c,0.5,9,yellow,A9_,0.017621145374449365,protein-coding
SPBP8B7.27,0.5089285714285714,9,yellow,A10_,0.0259680037097148,protein-coding
SPBPB21E7.04c,0.5178571428571428,9,yellow,A11_,0.01701351967188215,protein-coding
SPBPB21E7.05,0.5580357142857143,9,yellow,A12_,0.023682819383259897,protein-coding
SPBPB21E7.09,0.5044642857142857,9,yellow,B1_,0.008732603017426234,protein-coding
SPBPB2B2.19c,0.4330357142857143,9,yellow,B2_,0.010173032381125406,protein-coding
SPCC1020.07,0.40625,9,yellow,B3_,0.010843781768891917,protein-coding
SPCC1235.06,0.4285714285714286,9,yellow,B4_,0.010279001468428795,protein-coding
SPCC1235.09,0.0,9,yellow,B5_,inf,protein-coding
SPCC1259.12c,0.4241071428571428,9,yellow,B6_,0.031161604451657762,protein-coding
SPCC126.02c,0.4285714285714286,9,yellow,B7_,0.010279001468428795,protein-coding
SPCC1322.10,0.2857142857142857,9,yellow,B8_,0.03083700440528639,protein-coding
SPCC1322.15,0.4508928571428571,9,yellow,B9_,0.019540280019191378,protein-coding
SPCC1393.07c,0.4241071428571428,9,yellow,B10_,0.020774402967771888,protein-coding
SPCC1393.12,0.4464285714285714,9,yellow,B11_,0.01973568281938329,protein-coding
SPCC1442.02,0.5401785714285714,9,yellow,B12_,0.008155240834455905,protein-coding
SPCC1450.06c,0.4866071428571428,9,yellow,C1_,0.009053065513478575,protein-coding
SPCC1529.01,0.4464285714285714,9,yellow,C2_,0.0,protein-coding
