,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
23,R27,0.030134659530491558,0.2985394144688508,0.008971417899780601,0.0049731138785658,"[0.03617100301247379, 0.050316998239163024, 0.022189115581759265, 0.015967160580235056, 0.027716500064088656, 0.008062050446652978, 0.021145251743685627, 0.01929173913132121, 0.05325218627942477, 0.047234590226111206]",10
24,R28,0.008653034161868014,0.47460756287543016,0.004134393077028657,0.002100561673052874,"[0.01254490412205107, 0.019604117335852895, 0.0007074918259835963, 0.003914868357502067, 0.014086018502409325, 0.0023953126774413033, 0.0097614876108012, 0.00926858878198107, 0.014247552404657622, 0.0]",10
25,R29,0.056162717346793324,0.4002105565208424,0.02205577248896313,0.026519465648080533,"[0.01982281280245354, 0.012705769266562828, 0.010244968861070534, 0.010995023739406761, 0.04782125051846622, 0.040516479497592045, 0.034724378582787326, 0.06689540811943603, 0.02872404829424891, 0.289177033785909]",10
26,R3,0.027759719494251878,0.49593529454341834,0.013687604791053732,0.0025837129388241436,"[0.039584502398963696, 0.022039630376564052, 0.015788637832050225, 0.026711149754989356, 0.04109122251026966, 0.027136505487808955, 0.027043563517464966, 0.03184327123768338, 0.02800559777161154, 0.01835311405511295]",10
27,R30,0.015033079531446236,0.48371031060533376,0.007220344480844243,0.0014942978661396822,"[0.01870136877436008, 0.015634240509355513, 0.009309250742105884, 0.013570521882410605, 0.01803928974631225, 0.013869838780990079, 0.02514351901688697, 0.012609353785381115, 0.014165378365400924, 0.009288033711258956]",10
28,R31,0.028333772786950713,0.4799664344726956,0.013732705802121936,0.0023487553309123003,"[0.04112025110800359, 0.03683600668567045, 0.02417196951568007, 0.03504968378556623, 0.02945112193970163, 0.019701839551546883, 0.024913700958869644, 0.021888887973288744, 0.03002216402076603, 0.020182102330413836]",10
29,R32,0.02145893388298605,0.47924862032642246,0.010354155070978194,0.0033167521064891886,"[0.02710269657179418, 0.02435450784471028, 0.014557860501664468, 0.022299130862462883, 0.019629399856013967, 0.010143781626935394, 0.015109945047182613, 0.0114208128382642, 0.0464554311080361, 0.02351577257279641]",10
30,R33,0.00837116322435558,0.4603052139058347,0.003847396851384208,0.0019344638328473104,"[0.01660917192185369, 0.013950087468641634, 0.003344433556395325, 0.00526930021822853, 0.01844822280750727, 0.001829023428024033, 0.006362189676487817, 0.005466558068257377, 0.01050635023598235, 0.0019262948621777641]",10
31,R34,0.4362222272548048,0.21259452000485596,0.0960357117732931,0.12462218961738741,"[0.30766934188842904, 0.2834857963846123, 0.7834291375861602, 0.4130301808060049, 0.10480752021656363, 0.16835460951890222, 0.9927790043829618]",7
32,R35,0.040664125509560986,0.28920447925986265,0.013485599688368873,0.007296525769938766,"[0.05880485945037013, 0.09461909001593517, 0.04698306184267195, 0.033798400418137184, 0.022634392503127234, 0.011359700450268372, 0.03861300683244169, 0.026597945525615427, 0.031841778386278115, 0.04138901967076453]",10
