,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
28,JB858,0.0729036160967063,0.3856881872613552,0.02809107239919201,0.004758196276924753,"[0.08715350262928413, 0.0766896819999832, 0.06272213709164329, 0.05528394546313477, 0.07767542908024253, 0.07789700031594991]",6
29,JB862,0.02348044869170907,0.3760643825582795,0.008850371372862117,0.0041233423316208015,"[0.039022714032982464, 0.02830598873634353, 0.01690698798306865, 0.014332892196738794, 0.028489387623851312, 0.013824721577269664]",6
30,JB864,0.0863022406487071,0.24508746442700122,0.021082511262997965,0.010647158685761727,"[0.08859690461414987, 0.06617455421651863, 0.060408857390190696, 0.07334614360402844, 0.09812547775787524, 0.13116150630947973]",6
31,JB869,0.02133721314400103,0.38783332717020097,0.008630378043043882,0.004131895413692428,"[0.020743598747679285, 0.01947009340785743, 0.018039758791308334, 0.00924264969681277, 0.020470064944556977, 0.040057113275791395]",6
32,JB870,0.019344910802306024,0.45084763127178773,0.008821405174670685,0.0026099243397839406,"[0.02470125978186328, 0.018356204485726706, 0.014534838859583172, 0.010094721171298912, 0.021108453137677976, 0.0272739873776861]",6
33,JB871,0.9707765340867188,0.10715354604243496,0.10402214804217666,,[0.9707765340867188],1
34,JB872,0.024731518313794467,0.48267782315292646,0.011787920552526745,0.00447342567015038,"[0.028164060088032645, 0.025015911637513884, 0.014673107853555118, 0.01564049985867673, 0.02049821033650861, 0.04439732010847981]",6
35,JB873,0.022554416016956746,0.4669707987630886,0.010503323921775313,0.0030987658632499683,"[0.02953553115569126, 0.02213288345295154, 0.02286694087611699, 0.009691043772888062, 0.020275335459021715, 0.030824761385070912]",6
36,JB874,0.05360118742246309,0.4425650836754837,0.023558696040760437,0.003845721956209406,"[0.05078111195663181, 0.06496938127049386, 0.05375403209930755, 0.043937989721122214, 0.04377126782022484, 0.06439334166699823]",6
37,JB875,0.013029273184109966,0.4150697365080303,0.005479188999536487,0.0026441990637317996,"[0.021918306101613213, 0.01261493303624164, 0.005548143606522289, 0.005947625147945771, 0.01435319213774194, 0.017793439074594953]",6
38,JB878,0.014977809493205521,0.47713983391823306,0.007170023418068841,0.0023800437074589665,"[0.02416695098373701, 0.014969111879277632, 0.011436281070089194, 0.007013211763325044, 0.01798675530138058, 0.014294545961423674]",6
39,JB879,0.011887668516766314,0.43097213598099565,0.005157570602685443,0.0022858776353549934,"[0.02129630705924743, 0.011862041683176006, 0.006658570911249237, 0.0072730030624547325, 0.015239679663417485, 0.008996408721052994]",6
40,JB884,0.012962297199250938,0.46722983267826074,0.006103737525506567,0.002952117931343663,"[0.008685129366572846, 0.009944608961680366, 0.01170019326348327, 0.005915251107385841, 0.015239215030213396, 0.02628938546616991]",6
41,JB899,0.00798417235676074,0.46911865335298414,0.0037903462662349182,0.002708583350598714,"[0.004692124194846054, 0.008941479730269295, 0.0055067771173321345, 0.0, 0.00906342417287047, 0.019701228925246485]",6
42,JB900,0.014916063117654206,0.42687836645691246,0.00650494578723583,0.005274920909305645,"[0.009177319318809711, 0.0361176512225174, 0.005644488314822884, 0.0019786044731659714, 0.01211632487190659, 0.024461990504702682]",6
43,JB902,0.010826301545180514,0.43140130603655114,0.004917032584512736,0.0029072255333458578,"[0.01038737933410904, 0.013312831292522169, 0.0055362395927569565, 0.002248176709908704, 0.010582271627240928, 0.02289091071454528]",6
44,JB910,0.0985622867667395,0.3436063867767298,0.031535536602486404,0.017836949419018377,"[0.08370805366772006, 0.08207374834538328, 0.062129671068142635, 0.09427606246013558, 0.08404589842448197, 0.18514028663457344]",6
45,JB913,0.09987437599729297,0.27731872089343684,0.027191235320451798,0.012983476402693919,"[0.1014176663031624, 0.07880361099426504, 0.16223540534483014, 0.08770635621400887, 0.07734387624290347, 0.09173934088458786]",6
46,JB914,0.9792710173641971,0.3729841318207551,0.3653058293458092,0.011299358788372767,"[0.992385392016357, 0.9983719539050256, 0.9265905418383911, 0.9707445755313282, 0.9902141210782611, 0.9973195198158197]",6
47,JB916,0.018957065044666068,0.4830055629641368,0.009280992742292798,0.006031372143300114,"[0.01361598721966612, 0.013461202759882109, 0.005547141311468332, 0.01036815897459536, 0.024422721268163798, 0.046327178734220674]",6
48,JB917,0.011750299019839648,0.44455429680147457,0.0052721161617042865,0.002276907889248761,"[0.016824699769136295, 0.011628119390248921, 0.004637937687186465, 0.006703579122888935, 0.011629461798462297, 0.019077996351114974]",6
49,JB918,0.012338685541626515,0.48439331656116114,0.005968186330464147,0.0016614755219685547,"[0.019418008042222157, 0.011969396896166764, 0.010380970457878636, 0.009987575428784553, 0.014325445131733828, 0.007950717292973147]",6
50,JB929,0.03052154651934719,0.249567985435905,0.007856038629647122,0.0014028434586852367,"[0.02922082190628188, 0.031136335552188265, 0.02991072407584731, 0.027636727406263027, 0.02816648511473687, 0.037058185060765796]",6
51,JB930,0.022278983997233364,0.30428036607735176,0.0070781126867027295,0.004500438028652327,"[0.01872358681057572, 0.01967391845641154, 0.01686844966397157, 0.013112956139422408, 0.02124817612222128, 0.044046816790797645]",6
52,JB931,0.011150172378921715,0.3977247713187008,0.004609182641055305,0.0034789915035651825,"[0.0040529446579406535, 0.011350505133991199, 0.0088669622673123, 0.006527271992751314, 0.008283232409635655, 0.027820117811899178]",6
53,JB934,0.010660851550960014,0.45300521299463953,0.005025056539184118,0.0026491786449709303,"[0.007218821194796197, 0.01132352148128862, 0.007894781182674941, 0.006068246297030772, 0.008044667410328134, 0.023415071739641424]",6
54,JB938,0.02085602824763172,0.4083439794184236,0.00869324161087393,0.0031287865345129774,"[0.019861028876676186, 0.01843246928309143, 0.015431266189046005, 0.016595414238239157, 0.018650767862994574, 0.03616522303574298]",6
55,JB939,0.019215376095992432,0.44090295823342207,0.008669064704472115,0.0029266471470601654,"[0.019558809511134978, 0.019694934690384223, 0.01643706097347952, 0.014426292885283921, 0.012507596085796414, 0.032667562429875535]",6
56,JB942,0.03653841755671897,0.37661321753156657,0.013926954299985547,0.005109751450681809,"[0.026602034395247987, 0.029723886526531348, 0.03601203088930162, 0.030103211820540977, 0.035839058307882164, 0.06095028340080972]",6
57,JB943,0.02526555063698872,0.38751316660843077,0.009857952682303467,0.005376772530215491,"[0.019756653009951823, 0.03297793735319553, 0.018749781993788905, 0.012236454701144163, 0.019533332607962417, 0.04833914415588948]",6
58,JB953,0.25691308552471215,0.4146844516501071,0.10541818571996005,0.011822528473405043,"[0.2825284283065561, 0.28337427539699717, 0.25610113847535065, 0.2588873223525822, 0.25689331766855195, 0.20369403094823468]",6
