	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPCC1223.14	11003	12226	11448	10942	11086	11754	11191	12168	10577
SPCC1223.15c	220	235	280	265	217	200	245	283	386
SPCC1235.01	5001	6307	6601	4593	4868	4580	12440	12444	14625
SPCC1235.02	11640	11853	10816	10593	9715	10440	8239	8953	10167
SPCC1235.03	390	475	477	473	424	445	626	697	857
SPCC1235.04c	946	1059	958	931	896	1004	828	1105	1050
SPCC1235.05c	1341	1584	1744	1685	1520	1628	1664	1757	2548
SPCC1235.06	2155	2306	2119	2206	2053	2130	2238	2760	2895
SPCC1235.07	178	254	260	192	187	175	342	401	474
SPCC1235.08c	943	893	955	1017	928	1092	1312	1539	1434
SPCC1235.09	1758	1904	1928	2316	2029	2022	2041	2150	2673
SPCC1235.10c	1149	1177	1129	1308	1142	1231	924	1125	1463
SPCC1235.11	7375	7950	7851	5320	4962	5160	8834	9921	8662
SPCC1235.12c	29	28	36	18	12	21	44	51	66
SPCC1235.13	31	5	9	15	7	13	46	40	47
SPCC1235.14	3432	3004	3894	1209	1194	1174	1893	2159	1863
SPCC1235.15	3338	3499	3317	3534	3670	3529	3709	4224	4509
SPCC1235.16	1175	1099	1188	1180	1108	1040	1403	1506	1579
SPCC1235.17	161	183	186	205	186	191	310	301	352
SPCC1235.18	26	34	37	12	12	9	9	9	13
SPCC1259.01c	20811	22515	21931	21470	20608	21319	30552	31388	28422
SPCC1259.02c	7119	8240	7699	10307	9317	9703	8243	9469	8300
SPCC1259.03	2759	2760	2883	3310	2827	2624	4216	4343	4371
SPCC1259.04	1621	1649	1642	1841	1584	1646	1734	2064	1934
SPCC1259.05c	2541	2770	2697	2650	2793	3027	2682	3233	2855
SPCC1259.06	1125	1142	1020	1168	1087	1240	1143	1401	1220
SPCC1259.07	698	680	664	936	855	863	656	771	966
SPCC1259.08	8938	9645	9276	9513	9209	9808	7816	8225	7285
SPCC1259.09c	1084	1145	1222	924	794	729	1525	1793	2115
SPCC1259.10	834	946	985	887	821	888	1333	1562	1296
SPCC1259.11c	4373	4736	4512	4667	4313	4374	2951	2970	3477
SPCC1259.12c	702	875	827	962	837	766	1179	1231	1727
SPCC1259.13	692	780	788	920	717	734	552	582	655
SPCC1259.14c	20	17	33	8	13	14	163	178	256
SPCC1259.15c	4097	4859	4398	3997	3936	4246	4610	5952	5710
SPCC1259.16	437	557	560	398	379	347	921	954	1120
SPCC126.01c	271	418	410	372	316	280	500	544	680
SPCC126.02c	708	769	699	897	820	811	688	751	768
SPCC126.03	1098	1393	1354	1587	1224	1155	1456	1589	2137
SPCC126.04c	387	450	504	509	455	424	560	599	712
SPCC126.05c	630	616	694	786	641	604	655	763	982
SPCC126.06	1302	1476	1450	1487	1304	1276	1631	1927	2312
SPCC126.07c	1578	1627	1615	1613	1390	1627	1764	1907	1772
SPCC126.08c	6404	6968	6735	6126	6405	6895	7261	8483	8388
SPCC126.09	2812	3207	3078	3377	3536	3771	3695	4547	4073
SPCC126.10	1052	1011	1088	1218	1075	1024	930	1052	1337
SPCC126.11c	1050	1059	1068	1357	1094	1043	1010	1099	1376
SPCC126.12	1203	1395	1341	1409	1260	1306	1149	1278	1370
SPCC126.13c	458	499	508	621	438	421	728	837	963
SPCC126.14	339	454	471	407	272	291	699	711	896
SPCC126.15c	2420	2560	2547	2492	2544	2565	2866	3479	3287
SPCC1281.01	10369	10581	10243	10441	10530	11399	11540	12345	10586
SPCC1281.02c	334	429	411	444	382	409	607	709	758
SPCC1281.03c	4020	4402	3873	3709	3627	3952	3751	4446	4326
SPCC1281.04	46	37	49	35	29	36	33	37	34
SPCC1281.05	1238	1342	1333	1347	1232	1255	1563	1656	2077
SPCC1281.06c	45957	39830	38962	33049	35622	38187	33899	36799	37145
SPCC1281.07c	668	803	834	835	819	751	1136	1159	1500
SPCC1281.08	447	490	481	473	388	456	586	651	695
SPCC132.01c	1768	1993	1867	1807	1563	1682	1815	1890	2637
SPCC132.02	600	765	827	906	715	603	1057	1033	1303
SPCC132.03	558	663	676	600	490	575	939	1134	1099
