	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPNCRNA.1390	152	174	177	96	104	107	104	156	168
SPNCRNA.1391	183	197	173	196	166	187	187	273	223
SPNCRNA.1392	26	28	15	16	15	12	29	26	25
SPNCRNA.1393	37	16	20	9	4	11	25	35	35
SPNCRNA.1395	33	47	51	45	33	50	43	45	38
SPNCRNA.1396	21	5	7	3	2	2	16	16	12
SPNCRNA.1397	362	345	335	746	661	651	221	271	293
SPNCRNA.1398	93	92	115	78	60	67	217	251	219
SPNCRNA.1399	0	0	0	0	0	0	0	0	0
SPNCRNA.14	41	49	59	25	30	23	105	127	108
SPNCRNA.1400	11	16	22	3	9	6	39	34	51
SPNCRNA.1401	23	23	28	11	23	10	52	49	37
SPNCRNA.1402	150	130	188	108	85	80	287	323	262
SPNCRNA.1403	82	93	89	84	79	79	194	242	187
SPNCRNA.1404	85	67	68	84	66	73	81	118	153
SPNCRNA.1405	52	21	17	12	10	12	33	45	78
SPNCRNA.1406	15	13	22	13	15	9	50	30	41
SPNCRNA.1407	77	40	53	89	41	76	218	186	166
SPNCRNA.1408	111	127	124	126	108	84	199	221	175
SPNCRNA.1409	37	35	26	14	12	13	112	99	153
SPNCRNA.141	0	0	0	0	0	0	0	0	0
SPNCRNA.1410	33	33	23	17	28	22	26	30	47
SPNCRNA.1411	34	39	37	31	15	20	74	64	31
SPNCRNA.1412	57	48	48	45	37	47	49	71	68
SPNCRNA.1413	157	136	132	150	131	135	245	297	250
SPNCRNA.1414	40	52	62	39	32	26	82	120	84
SPNCRNA.1415	2	1	2	5	3	4	2	3	4
SPNCRNA.1416	38	48	36	46	69	57	64	92	75
SPNCRNA.1417	472	474	459	565	555	587	294	310	364
SPNCRNA.1418	70	67	62	41	36	33	90	130	105
SPNCRNA.1419	58	47	77	32	23	36	75	121	175
SPNCRNA.142	0	0	0	0	0	0	0	1	0
SPNCRNA.1420	12	14	20	8	12	4	7	8	16
SPNCRNA.1421	1528	1606	1587	1442	1258	1407	2060	2418	2088
SPNCRNA.1422	34	24	23	32	21	23	67	81	59
SPNCRNA.1423	201	210	180	157	173	152	241	270	249
SPNCRNA.1424	180	171	212	220	184	213	113	157	128
SPNCRNA.1425	29	27	45	31	25	33	36	43	86
SPNCRNA.1426	80	76	87	63	77	61	109	105	86
SPNCRNA.1427	12	13	12	4	6	1	16	16	26
SPNCRNA.1428	636	669	613	554	515	495	955	1126	955
SPNCRNA.1429	32	25	38	26	28	28	50	59	67
SPNCRNA.143	0	0	0	0	0	0	0	0	0
SPNCRNA.1430	4	1	8	2	1	1	14	10	6
SPNCRNA.1431	258	255	338	527	287	434	160	189	182
SPNCRNA.1432	59	72	70	57	43	55	95	90	93
SPNCRNA.1433	72	63	86	63	52	44	80	95	100
SPNCRNA.1434	66	72	75	74	59	88	92	109	112
SPNCRNA.1435	199	219	170	124	113	115	263	290	265
SPNCRNA.1437	69	68	50	72	75	88	55	55	48
SPNCRNA.1438	51	16	27	9	7	12	24	24	15
SPNCRNA.1439	19	22	16	15	12	12	74	90	63
SPNCRNA.144	0	0	0	0	0	0	0	0	0
SPNCRNA.1440	115	178	158	108	95	110	206	236	221
SPNCRNA.1441	24	27	29	14	15	17	42	38	60
SPNCRNA.1442	41	45	46	46	42	54	25	29	11
SPNCRNA.1443	2330	2529	2455	2457	2378	2589	2955	3464	3489
SPNCRNA.1444	28	15	21	40	17	28	118	109	122
SPNCRNA.1445	129	111	97	57	46	72	80	72	115
SPNCRNA.1446	459	422	410	479	380	389	410	501	520
SPNCRNA.1447	373	378	408	317	323	317	1084	1243	935
SPNCRNA.1448	150	58	72	87	37	44	85	75	67
SPNCRNA.1449	61	51	78	37	41	50	95	104	121
SPNCRNA.145	0	0	0	0	0	0	0	0	0
SPNCRNA.1450	105	122	118	74	68	69	185	168	142
SPNCRNA.1451	332	312	311	231	168	168	452	484	533
SPNCRNA.1452	15	25	26	31	32	31	21	22	41
SPNCRNA.1453	36	47	43	30	24	29	96	100	79
SPNCRNA.1454	184	214	199	125	170	154	361	415	486
SPNCRNA.1455	95	136	108	60	56	67	203	221	194
SPNCRNA.1456	106	118	119	100	80	110	153	190	176
SPNCRNA.1457	589	639	695	588	522	531	870	955	954
SPNCRNA.1458	89	75	73	66	49	69	120	144	127
SPNCRNA.1459	353	346	345	300	319	309	215	279	189
SPNCRNA.1460	20	14	15	13	9	17	14	21	14
SPNCRNA.1461	698	754	688	525	512	485	572	696	588
SPNCRNA.1462	352	43	64	59	12	18	93	63	43
SPNCRNA.1463	47	44	58	48	39	36	46	66	45
SPNCRNA.1464	113	121	137	87	75	73	265	299	308
SPNCRNA.1465	319	9	20	65	16	31	105	41	20
SPNCRNA.1466	101	106	117	156	107	109	177	197	172
SPNCRNA.1467	67	32	31	32	27	17	122	174	110
SPNCRNA.1468	109	87	113	89	76	53	125	140	151
SPNCRNA.1469	1125	1226	1076	1096	981	1011	1329	1419	1367
SPNCRNA.147	0	0	0	2	2	1	1	1	1
SPNCRNA.1470	58	25	22	24	24	25	99	92	147
SPNCRNA.1471	451	512	521	1549	1289	1464	174	190	254
SPNCRNA.1472	8	20	26	24	17	27	28	38	22
SPNCRNA.1473	148	125	118	147	119	133	206	250	227
SPNCRNA.1474	45	71	64	27	22	21	97	129	140
SPNCRNA.1475	6	4	8	7	5	3	14	20	33
SPNCRNA.1476	527	630	654	672	657	659	729	818	767
SPNCRNA.1477	45	42	58	37	27	20	51	47	59
SPNCRNA.1478	133	73	93	75	38	47	94	129	128
SPNCRNA.1479	28	19	21	20	14	18	82	125	95
SPNCRNA.148	0	0	0	0	0	0	0	0	0
SPNCRNA.1480	18	17	20	40	21	20	33	43	40
SPNCRNA.1481	6	5	4	4	5	3	19	17	15
SPNCRNA.1482	14	6	16	15	9	4	58	57	42
SPNCRNA.1483	241	240	287	234	175	161	368	420	340
SPNCRNA.1484	119	120	120	168	114	128	190	211	179
SPNCRNA.1485	8	9	5	3	7	4	6	12	11
SPNCRNA.1487	652	676	704	741	676	764	768	939	501
SPNCRNA.1488	257	348	336	328	277	340	575	546	474
SPNCRNA.1489	163	166	203	124	114	90	304	315	413
SPNCRNA.1490	1	0	0	0	0	0	3	2	1
SPNCRNA.1491	165	70	78	46	44	43	70	79	75
SPNCRNA.1492	132	124	118	74	81	80	359	418	407
SPNCRNA.1493	41	37	44	25	23	27	36	46	36
SPNCRNA.1494	320	340	354	323	301	337	954	1019	643
SPNCRNA.1495	56	33	36	44	43	49	45	81	73
SPNCRNA.1496	117	136	146	36	46	39	295	333	207
SPNCRNA.1497	25	22	37	23	16	20	62	90	89
SPNCRNA.1498	232	221	227	206	195	159	334	323	357
SPNCRNA.1499	21	20	19	26	26	26	26	37	21
SPNCRNA.15	10	0	4	3	7	4	18	25	11
SPNCRNA.1500	87	52	64	19	28	21	53	38	46
SPNCRNA.1501	81	69	81	58	46	50	140	180	195
SPNCRNA.1502	0	0	0	0	0	0	0	0	0
SPNCRNA.1503	587	598	609	479	454	496	583	647	590
SPNCRNA.1504	213	194	211	178	172	142	403	537	448
SPNCRNA.1505	793	895	962	1200	999	1007	875	968	1113
SPNCRNA.1506	39	56	34	41	26	19	91	91	74
SPNCRNA.1507	19	4	3	5	1	1	2	7	4
SPNCRNA.1508	97	73	77	64	40	38	67	85	121
SPNCRNA.1509	42	47	57	18	26	30	144	228	143
SPNCRNA.1510	108	142	137	90	103	80	204	268	192
SPNCRNA.1511	5	5	12	9	13	7	67	43	38
SPNCRNA.1512	19	4	2	1	0	0	11	13	10
SPNCRNA.1513	19	21	20	13	10	7	22	36	44
SPNCRNA.1514	4	5	3	9	4	3	13	16	12
SPNCRNA.1515	68	53	60	43	44	39	57	65	64
SPNCRNA.1516	150	156	122	131	98	100	251	245	210
SPNCRNA.1517	261	121	120	86	93	90	323	289	205
SPNCRNA.1518	560	598	603	981	801	937	652	669	676
SPNCRNA.1519	13	8	13	17	12	9	10	8	18
SPNCRNA.1520	209	226	208	172	175	160	183	231	208
SPNCRNA.1521	42	34	40	26	32	16	48	58	72
SPNCRNA.1522	37	27	25	29	22	14	72	68	54
SPNCRNA.1523	157	144	153	115	110	111	387	537	496
SPNCRNA.1524	322	369	356	204	203	203	482	642	419
SPNCRNA.1525	50	56	48	59	55	55	67	94	50
SPNCRNA.1526	42	26	35	26	17	24	63	88	94
SPNCRNA.1527	95	94	91	92	88	138	235	316	221
SPNCRNA.1528	59	59	49	66	73	51	141	171	99
SPNCRNA.1529	75	102	84	80	54	62	136	111	111
SPNCRNA.1530	0	1	2	1	1	3	1	7	9
SPNCRNA.1531	57	40	42	31	21	45	41	51	61
SPNCRNA.1532	289	377	356	267	183	161	452	526	581
SPNCRNA.1533	60	69	77	45	51	66	151	178	116
SPNCRNA.1534	82	100	82	83	71	101	74	76	80
SPNCRNA.1535	23	31	24	18	18	14	33	31	23
SPNCRNA.1536	49	39	45	80	40	61	76	94	78
SPNCRNA.1537	319	373	333	381	389	379	500	574	589
SPNCRNA.1538	573	571	501	535	495	491	472	503	616
SPNCRNA.1539	53	42	24	19	15	14	91	128	68
SPNCRNA.154	0	0	0	0	0	0	0	0	0
SPNCRNA.1540	1	3	1	1	1	1	5	1	2
SPNCRNA.1541	0	0	0	0	0	0	0	2	0
SPNCRNA.1542	45	43	34	29	11	20	102	125	130
SPNCRNA.1543	150	173	176	116	168	151	167	198	199
SPNCRNA.1544	1345	1380	1240	1131	1075	1174	1330	1580	1549
SPNCRNA.1545	48	41	35	33	20	31	119	179	121
SPNCRNA.1546	288	295	320	497	400	479	724	729	669
SPNCRNA.1547	0	0	0	0	0	0	0	2	0
SPNCRNA.1548	217	228	216	217	199	221	176	154	185
SPNCRNA.1549	6	2	1	3	5	4	23	12	27
SPNCRNA.155	17	16	16	4	4	3	9	15	10
SPNCRNA.1550	102	124	118	107	121	108	151	171	306
SPNCRNA.1551	12	21	25	11	12	10	19	35	28
SPNCRNA.1552	38	14	17	15	12	10	29	18	30
SPNCRNA.1553	58	79	66	81	70	91	205	170	176
SPNCRNA.1554	39	58	56	40	44	61	50	68	51
SPNCRNA.1555	128	90	97	94	79	99	63	47	76
SPNCRNA.1556	38	33	58	39	22	33	91	82	104
SPNCRNA.1557	482	556	499	553	624	670	49	36	47
SPNCRNA.1558	50	35	42	12	14	13	93	92	86
SPNCRNA.1559	0	0	0	0	0	0	0	4	1
SPNCRNA.156	3	6	7	4	2	2	24	13	11
SPNCRNA.1560	118	145	192	208	123	117	133	173	293
SPNCRNA.1561	0	0	0	0	1	0	0	1	0
SPNCRNA.1562	49	48	67	18	18	22	108	133	141
SPNCRNA.1563	396	396	378	338	325	335	465	481	486
SPNCRNA.1564	62	46	44	45	33	24	172	202	142
SPNCRNA.1565	89	79	81	94	83	103	126	127	150
SPNCRNA.1566	76	80	92	95	78	79	115	170	184
SPNCRNA.1567	215	252	268	204	149	167	638	735	664
SPNCRNA.1568	386	440	418	464	432	412	505	532	529
SPNCRNA.1569	65	49	61	35	38	44	49	68	66
SPNCRNA.1570	104	95	117	76	58	60	327	328	300
SPNCRNA.1571	191	196	198	138	105	121	161	150	175
SPNCRNA.1572	188	176	202	144	105	178	196	201	265
SPNCRNA.1573	74	62	53	46	42	47	114	127	90
SPNCRNA.1574	212	176	187	179	156	151	213	228	258
SPNCRNA.1575	202	184	183	145	150	163	298	363	335
SPNCRNA.1576	199	271	293	301	203	208	349	389	524
SPNCRNA.1577	29	16	25	5	15	12	87	114	79
SPNCRNA.1578	112	22	31	9	5	5	24	10	5
SPNCRNA.1579	137	106	120	95	78	95	488	620	477
SPNCRNA.158	1	1	0	1	2	0	3	6	4
SPNCRNA.1580	210	240	241	212	201	193	399	377	555
SPNCRNA.1581	160	200	188	113	144	126	231	293	254
SPNCRNA.1582	1	1	4	1	1	1	2	3	6
SPNCRNA.1583	32	44	37	45	37	39	82	81	104
SPNCRNA.1584	62	60	64	40	59	36	67	51	87
SPNCRNA.1585	88	102	82	108	128	92	170	247	186
SPNCRNA.1586	69	50	54	39	20	21	67	67	39
SPNCRNA.1587	57	55	55	48	44	41	32	38	58
SPNCRNA.1588	63	70	82	99	120	88	204	218	215
SPNCRNA.1589	66	69	80	54	43	43	194	226	216
SPNCRNA.159	0	0	0	0	0	0	0	0	0
SPNCRNA.1590	127	7	9	13	4	7	22	18	8
SPNCRNA.1591	210	224	212	148	144	162	411	489	539
SPNCRNA.1592	18	23	18	11	14	20	42	77	47
SPNCRNA.1593	93	75	74	83	55	60	75	87	71
SPNCRNA.1594	190	5	17	27	4	8	60	27	16
SPNCRNA.1595	39	33	47	14	29	17	53	61	75
SPNCRNA.1596	20	15	21	9	14	12	26	26	26
SPNCRNA.1597	394	162	143	197	136	149	343	351	308
SPNCRNA.1598	0	0	0	0	0	0	0	0	0
SPNCRNA.1599	1342	1284	1303	1196	1289	1278	1502	1701	1551
SPNCRNA.16	1	3	1	0	0	0	0	3	0
SPNCRNA.160	1	1	1	0	1	1	8	1	4
SPNCRNA.1600	390	475	557	357	336	306	1039	1266	1240
SPNCRNA.1601	263	335	345	401	334	387	243	259	319
SPNCRNA.1602	1173	1185	1151	1305	1203	1180	1941	2444	1966
SPNCRNA.1603	39	45	49	40	33	31	100	133	121
SPNCRNA.1604	32	29	31	16	21	15	162	150	134
SPNCRNA.1605	24	31	28	17	10	22	38	27	37
SPNCRNA.1606	446	520	685	600	435	498	849	859	1082
SPNCRNA.1607	71	71	58	39	31	35	105	113	177
SPNCRNA.1608	0	1	0	0	0	0	2	0	1
SPNCRNA.1609	127	189	158	113	112	71	106	110	134
SPNCRNA.1610	212	205	191	200	161	166	213	252	247
SPNCRNA.1611	91	18	18	10	6	6	42	52	35
SPNCRNA.1613	22	26	23	7	10	7	33	44	91
SPNCRNA.1614	29	23	30	13	10	18	22	14	22
SPNCRNA.1615	132	160	198	127	123	116	170	188	221
SPNCRNA.1616	60	82	87	54	40	43	236	256	253
SPNCRNA.1617	47	66	71	21	23	24	99	115	122
SPNCRNA.1618	123	128	147	118	80	123	475	517	376
SPNCRNA.1619	0	0	0	1	0	0	0	0	2
SPNCRNA.1620	38	21	35	16	19	19	56	56	54
SPNCRNA.1621	68	87	82	66	59	73	64	105	77
SPNCRNA.1622	87	118	122	134	57	98	132	115	157
SPNCRNA.1623	6	8	3	4	2	2	11	14	7
SPNCRNA.1624	63	68	74	92	66	95	62	78	84
SPNCRNA.1625	1017	1088	1078	693	700	687	1439	1609	1543
SPNCRNA.1626	6401	6076	5997	4819	3576	4094	8763	8457	8193
SPNCRNA.1627	62	85	57	28	29	33	92	100	91
SPNCRNA.1628	87	94	88	102	91	74	185	210	211
SPNCRNA.1629	95	93	90	89	71	66	266	303	276
SPNCRNA.163	25	29	53	45	21	31	31	23	31
SPNCRNA.1630	132	151	158	135	104	96	328	376	360
SPNCRNA.1631	0	0	0	0	0	0	0	0	0
SPNCRNA.1632	50	25	12	18	6	7	21	26	33
SPNCRNA.1633	123	122	136	107	109	96	373	414	317
SPNCRNA.1634	99	141	140	129	81	80	356	430	362
SPNCRNA.1635	77	88	119	55	53	49	112	140	149
SPNCRNA.1636	163	209	232	143	131	132	182	194	214
SPNCRNA.1637	139	159	117	81	89	93	85	118	145
SPNCRNA.1638	6	14	14	6	7	3	22	17	15
SPNCRNA.1639	73	85	86	102	87	83	82	118	166
SPNCRNA.164	0	0	3	0	1	2	2	4	4
SPNCRNA.1640	118	138	130	238	147	148	177	193	202
SPNCRNA.1641	91	75	107	134	133	139	244	214	243
SPNCRNA.1642	175	158	195	137	154	139	240	281	255
SPNCRNA.1643	377	398	457	612	540	574	482	561	476
SPNCRNA.1644	2801	2833	2805	2542	2486	2684	2188	2623	2621
SPNCRNA.1645	1142	1288	1124	1018	917	978	742	869	1032
SPNCRNA.1646	46	38	27	28	26	50	39	46	41
SPNCRNA.1647	43	37	44	34	41	33	100	100	61
SPNCRNA.1648	180	130	129	130	123	130	207	217	222
SPNCRNA.1649	0	1	1	4	1	1	1	3	1
SPNCRNA.1650	86	77	74	52	49	44	120	138	149
SPNCRNA.1651	3	5	4	2	2	3	13	23	10
SPNCRNA.1653	109	75	53	72	69	64	246	208	212
SPNCRNA.1654	31	26	50	42	24	35	43	40	56
SPNCRNA.1655	106	90	105	73	63	68	138	132	135
SPNCRNA.1656	70	53	62	50	39	45	72	68	132
SPNCRNA.1657	7	3	11	2	4	3	10	4	6
SPNCRNA.1658	1426	1437	1423	1467	1353	1497	2783	3093	2759
SPNCRNA.1659	109	34	40	45	33	31	79	53	88
SPNCRNA.166	8	7	5	1	9	2	18	23	11
SPNCRNA.1660	33	12	22	16	16	12	112	103	82
SPNCRNA.1661	57	35	44	48	39	34	49	58	59
SPNCRNA.1662	215	226	216	283	222	226	368	469	409
SPNCRNA.1663	522	585	539	508	528	531	610	724	739
SPNCRNA.1664	48	72	64	29	26	19	200	211	185
SPNCRNA.1665	274	320	305	223	231	193	228	265	281
SPNCRNA.1666	83	120	94	35	44	33	91	101	86
SPNCRNA.1667	61	46	40	65	38	35	78	103	104
SPNCRNA.1668	124	134	137	164	162	159	204	238	230
SPNCRNA.1669	65	75	68	77	43	54	99	108	125
SPNCRNA.1670	0	3	1	3	1	0	1	2	4
SPNCRNA.1671	947	1034	937	1034	1069	1166	790	887	911
SPNCRNA.1672	5	7	17	3	5	6	3	9	7
SPNCRNA.1673	117	145	132	132	81	90	147	157	177
SPNCRNA.1674	3	5	8	8	6	11	5	6	1
SPNCRNA.1675	104	108	90	44	43	60	62	65	68
SPNCRNA.1676	31	28	21	21	16	14	23	31	40
SPNCRNA.1677	4	9	4	2	4	4	6	12	10
SPNCRNA.1678	115	104	109	68	61	72	158	178	165
SPNCRNA.168	4	3	5	7	6	5	16	11	14
SPNCRNA.1680	28	50	43	48	34	37	156	190	153
SPNCRNA.1681	17	30	38	12	22	11	56	70	54
SPNCRNA.1682	122	145	124	69	86	97	286	350	390
SPNCRNA.1683	12	8	8	9	8	6	25	32	33
SPNCRNA.1684	110	120	117	63	75	71	282	277	239
SPNCRNA.1685	580	635	644	664	602	689	652	674	648
SPNCRNA.1686	162	139	172	99	85	98	200	221	219
SPNCRNA.1687	198	171	173	180	146	179	316	330	303
SPNCRNA.1688	45	65	92	32	47	43	96	112	136
SPNCRNA.1689	62	83	85	71	56	79	83	120	108
SPNCRNA.169	0	0	0	0	0	0	0	0	0
SPNCRNA.1690	1422	1582	1439	1422	1304	1338	1129	1222	1486
SPNCRNA.1691	22	18	24	20	17	23	20	32	46
SPNCRNA.1692	103	114	119	70	72	71	95	68	111
SPNCRNA.1693	14	5	20	3	0	2	16	11	11
SPNCRNA.1694	60	74	64	32	28	33	196	207	151
SPNCRNA.1695	16	11	15	10	13	4	27	50	72
SPNCRNA.1696	108	134	124	62	59	66	907	1033	1096
SPNCRNA.1697	336	304	348	375	307	343	217	302	435
SPNCRNA.17	0	0	0	0	0	0	0	0	0
SPNCRNA.171	0	0	0	0	0	0	0	0	0
SPNCRNA.173	18	8	8	15	12	12	32	24	38
SPNCRNA.174	0	1	0	0	0	0	1	1	1
SPNCRNA.175	3	1	3	2	1	3	4	7	4
SPNCRNA.177	0	0	0	1	0	0	3	1	3
SPNCRNA.178	31	44	46	23	31	25	60	52	54
SPNCRNA.181	0	0	0	0	0	0	0	0	0
SPNCRNA.182	0	0	1	0	0	0	0	0	1
SPNCRNA.184	5	5	2	1	1	0	29	11	14
SPNCRNA.185	1	1	0	0	0	0	0	0	0
SPNCRNA.186	6	5	3	4	4	3	5	3	1
SPNCRNA.187	7	7	7	2	8	1	20	25	19
SPNCRNA.188	12	8	12	7	8	4	28	34	19
SPNCRNA.189	6	14	6	4	6	4	12	8	21
SPNCRNA.19	0	0	0	0	0	0	0	0	0
SPNCRNA.190	24	20	20	9	8	17	7	16	33
SPNCRNA.192	13	13	12	5	4	16	9	29	9
SPNCRNA.194	0	0	0	0	0	0	0	0	1
SPNCRNA.195	19	33	28	27	24	25	35	29	37
SPNCRNA.197	2	3	4	1	2	3	7	3	7
SPNCRNA.198	0	0	0	1	0	0	1	2	3
SPNCRNA.199	18	18	10	9	11	7	24	44	33
SPNCRNA.20	0	0	0	0	0	0	0	0	0
SPNCRNA.200	2	1	0	0	1	0	2	2	3
SPNCRNA.2001	0	0	0	0	0	0	0	0	0
SPNCRNA.2002	0	0	0	0	0	0	0	0	0
SPNCRNA.201	1	0	0	3	0	0	2	2	3
SPNCRNA.202	0	0	0	0	0	0	0	0	0
SPNCRNA.204	0	0	0	0	0	0	0	0	0
SPNCRNA.205	28	39	28	23	32	40	21	24	39
SPNCRNA.208	0	0	0	0	0	0	0	0	0
SPNCRNA.209	18	4	27	17	6	14	52	76	56
SPNCRNA.21	9	2	11	6	2	1	14	11	13
SPNCRNA.210	0	0	0	0	0	0	0	0	0
SPNCRNA.212	0	0	0	2	0	0	0	1	0
SPNCRNA.213	0	0	0	0	0	0	0	0	0
SPNCRNA.214	270	371	331	288	271	315	291	317	311
SPNCRNA.215	3	1	0	1	1	1	1	1	1
SPNCRNA.216	8	6	0	1	0	0	2	1	6
SPNCRNA.217	17	24	19	14	24	21	22	19	38
SPNCRNA.218	17	21	35	16	20	16	51	78	92
SPNCRNA.219	0	0	0	0	0	0	0	0	0
SPNCRNA.22	4	14	18	9	7	18	14	17	19
SPNCRNA.220	1	0	0	1	0	0	2	1	2
SPNCRNA.222	0	0	0	0	0	0	0	0	0
SPNCRNA.226	0	0	0	0	0	0	0	0	0
SPNCRNA.227	0	0	0	0	0	0	0	0	0
SPNCRNA.228	46	43	46	39	45	50	42	62	46
SPNCRNA.229	0	0	0	0	0	0	0	0	0
SPNCRNA.23	0	0	0	0	0	0	0	0	0
SPNCRNA.230	0	0	0	0	0	0	0	0	0
SPNCRNA.231	0	0	1	0	1	0	0	0	0
SPNCRNA.232	0	0	0	0	0	0	0	0	1
SPNCRNA.233	0	0	0	0	0	0	0	0	0
SPNCRNA.234	3	1	3	0	0	3	8	3	2
SPNCRNA.236	0	0	0	0	0	0	0	0	0
SPNCRNA.237	2	2	1	3	3	4	11	13	5
SPNCRNA.239	25	29	29	21	27	24	104	127	119
SPNCRNA.24	24	36	33	31	25	34	47	88	76
SPNCRNA.240	6	1	6	4	2	9	11	10	11
SPNCRNA.242	35	28	26	43	30	44	51	42	33
SPNCRNA.243	3	1	5	9	7	7	8	13	12
SPNCRNA.244	2	1	5	0	2	0	0	0	0
SPNCRNA.246	0	0	0	0	0	0	1	1	0
SPNCRNA.247	1	0	0	2	0	0	2	3	2
SPNCRNA.248	0	0	0	0	0	0	0	0	0
SPNCRNA.249	24	29	34	27	25	14	31	22	27
SPNCRNA.25	20	3	1	3	1	3	16	1	2
SPNCRNA.253	30	26	29	12	15	14	70	93	66
SPNCRNA.254	0	0	0	2	0	0	0	0	0
SPNCRNA.255	2	1	5	2	0	3	2	0	4
SPNCRNA.256	0	0	0	0	0	0	0	0	0
SPNCRNA.257	0	1	0	0	0	0	2	2	0
SPNCRNA.258	9	7	6	4	9	4	8	6	1
SPNCRNA.26	0	0	0	0	0	0	0	0	0
SPNCRNA.260	0	0	0	0	0	0	0	0	0
SPNCRNA.261	53	65	68	77	58	78	77	81	65
SPNCRNA.263	3	7	10	15	16	3	21	13	12
SPNCRNA.264	17	20	18	9	13	14	31	36	21
SPNCRNA.265	0	0	0	0	0	0	0	0	0
SPNCRNA.266	0	1	0	1	2	0	2	0	0
SPNCRNA.267	0	0	0	0	0	0	0	0	0
SPNCRNA.268	5	7	10	1	5	3	7	26	22
SPNCRNA.269	42	56	50	48	37	39	44	57	40
SPNCRNA.27	0	0	0	0	0	0	0	1	0
SPNCRNA.270	1	0	1	1	0	1	0	1	0
SPNCRNA.271	1	0	2	1	0	1	0	3	1
SPNCRNA.272	0	1	0	0	0	0	3	0	1
SPNCRNA.273	11	14	23	5	9	15	33	35	22
SPNCRNA.274	0	0	0	0	0	0	0	0	0
SPNCRNA.275	1	0	0	0	0	0	0	0	1
SPNCRNA.276	2	0	0	0	0	0	0	1	0
SPNCRNA.277	0	0	0	0	0	0	0	0	0
SPNCRNA.278	3	0	2	2	0	1	23	19	40
SPNCRNA.279	4	1	2	3	1	0	9	8	9
SPNCRNA.28	0	0	0	0	0	0	0	0	0
SPNCRNA.280	0	0	0	0	0	0	0	0	0
SPNCRNA.281	1	2	4	2	0	0	2	0	4
SPNCRNA.282	3	4	2	3	2	1	4	4	4
SPNCRNA.283	2	1	6	4	1	3	6	1	2
SPNCRNA.284	4	6	4	6	2	3	7	9	7
SPNCRNA.286	0	0	0	0	0	0	0	0	0
SPNCRNA.287	3	5	6	3	5	6	0	2	3
SPNCRNA.289	0	0	0	0	0	0	0	0	0
SPNCRNA.29	150	155	118	88	95	65	161	241	110
SPNCRNA.290	0	0	0	0	0	0	0	0	0
SPNCRNA.291	182	191	207	199	148	157	516	569	804
SPNCRNA.292	5	7	7	2	2	3	29	36	29
SPNCRNA.293	122	118	114	163	127	142	219	234	339
SPNCRNA.294	0	0	0	0	0	0	0	0	0
SPNCRNA.296	0	1	2	0	0	0	2	1	0
SPNCRNA.297	2	2	2	2	3	0	6	8	11
SPNCRNA.298	0	0	0	0	0	0	0	0	0
SPNCRNA.299	0	0	0	0	0	0	0	0	0
SPNCRNA.30	0	0	0	0	0	0	0	0	0
SPNCRNA.300	0	0	0	0	0	0	0	0	0
SPNCRNA.301	46	60	74	62	50	46	98	127	142
SPNCRNA.304	529	619	590	528	540	501	940	1055	959
SPNCRNA.305	3	1	2	0	3	2	2	5	6
SPNCRNA.306	0	0	0	0	0	0	0	0	0
SPNCRNA.307	3	3	3	2	3	1	8	17	19
SPNCRNA.310	0	0	0	0	0	0	0	29	2
SPNCRNA.311	2	4	6	0	4	2	9	9	3
SPNCRNA.312	0	0	0	0	1	0	0	0	0
SPNCRNA.313	0	4	0	0	1	0	2	0	1
SPNCRNA.315	0	0	0	0	0	0	1	0	3
SPNCRNA.316	212	188	201	139	154	118	384	468	405
SPNCRNA.317	0	0	0	0	0	0	0	0	0
SPNCRNA.318	0	0	0	0	1	0	0	0	0
SPNCRNA.319	0	0	0	0	0	1	0	0	0
SPNCRNA.32	0	0	0	0	0	0	0	0	0
SPNCRNA.321	0	0	0	0	0	0	0	0	0
SPNCRNA.322	219	248	261	198	188	196	517	602	498
SPNCRNA.323	4	13	6	1	2	2	17	23	32
SPNCRNA.324	1	1	1	1	0	1	2	9	4
SPNCRNA.325	0	0	0	0	0	0	0	0	0
SPNCRNA.326	0	0	0	0	0	0	0	3	0
SPNCRNA.327	0	0	1	1	1	1	1	2	0
SPNCRNA.328	75	59	66	58	47	65	92	106	82
SPNCRNA.329	0	0	1	1	1	0	8	6	9
SPNCRNA.33	3	5	8	3	2	1	7	5	6
SPNCRNA.332	0	0	0	0	1	0	0	0	0
SPNCRNA.333	0	0	0	0	0	0	0	0	0
SPNCRNA.334	0	0	0	0	0	0	0	0	0
SPNCRNA.335	6	3	4	3	4	5	13	11	7
SPNCRNA.337	1	2	0	0	1	0	0	5	3
SPNCRNA.338	0	0	0	2	0	0	0	0	1
SPNCRNA.34	50	70	83	26	28	22	143	195	177
SPNCRNA.341	1	0	0	0	0	0	0	0	0
SPNCRNA.342	0	0	0	0	0	0	0	0	0
SPNCRNA.346	3	4	4	6	1	5	4	3	7
SPNCRNA.348	1	1	2	2	2	1	4	3	2
SPNCRNA.35	0	0	0	0	0	0	0	0	0
SPNCRNA.351	0	0	0	0	0	1	0	1	0
SPNCRNA.352	0	0	0	0	0	0	4	3	0
SPNCRNA.358	0	0	0	0	0	0	0	0	0
SPNCRNA.359	14	8	12	8	7	8	31	25	30
SPNCRNA.36	13	24	21	14	13	6	14	19	25
